path,bytes,extension,last_modified_epoch,candidate_latest_session,utility
experiments\volumetric_reconstruction\dense_depth_tsdf_alignment_outputs\dense_depth_tsdf_alignment_outputs\set2\dense_depth_tsdf_grid.npz,29747,.npz,1782700606.0,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_alignment_outputs\dense_depth_tsdf_alignment_outputs\set2\dense_depth_tsdf_mesh.ply,320642,.ply,1782700606.0,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
experiments\volumetric_reconstruction\dense_depth_tsdf_alignment_outputs\dense_depth_tsdf_results.json,33034,.json,1782700283.075353,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_alignment_outputs\set1\dense_depth_tsdf_grid.npz,18696,.npz,1782700256.4005933,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_alignment_outputs\set1\dense_depth_tsdf_mesh.ply,205050,.ply,1782700256.4271033,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
experiments\volumetric_reconstruction\dense_depth_tsdf_alignment_outputs\set2\dense_depth_tsdf_grid.npz,29760,.npz,1782700270.7124102,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_alignment_outputs\set2\dense_depth_tsdf_mesh.ply,319162,.ply,1782700270.7514148,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
experiments\volumetric_reconstruction\dense_depth_tsdf_alignment_ray_outputs\dense_depth_tsdf_alignment_ray_outputs\dense_depth_tsdf_results.json,35055,.json,1782700750.0,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_alignment_ray_outputs\dense_depth_tsdf_alignment_ray_outputs\set1\dense_depth_tsdf_grid.npz,18735,.npz,1782700707.0,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_alignment_ray_outputs\dense_depth_tsdf_alignment_ray_outputs\set1\dense_depth_tsdf_mesh.ply,198974,.ply,1782700707.0,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
experiments\volumetric_reconstruction\dense_depth_tsdf_alignment_ray_outputs\dense_depth_tsdf_alignment_ray_outputs\set1\ray_refined_tsdf_grid.npz,30169,.npz,1782700707.0,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_alignment_ray_outputs\dense_depth_tsdf_alignment_ray_outputs\set1\ray_refined_tsdf_mesh.ply,119298,.ply,1782700707.0,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
experiments\volumetric_reconstruction\dense_depth_tsdf_alignment_ray_outputs\dense_depth_tsdf_alignment_ray_outputs\set2\dense_depth_tsdf_grid.npz,29747,.npz,1782700738.0,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_alignment_ray_outputs\dense_depth_tsdf_alignment_ray_outputs\set2\dense_depth_tsdf_mesh.ply,320642,.ply,1782700738.0,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
experiments\volumetric_reconstruction\dense_depth_tsdf_alignment_ray_outputs\dense_depth_tsdf_alignment_ray_outputs\set2\ray_refined_tsdf_grid.npz,43476,.npz,1782700738.0,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_alignment_ray_outputs\dense_depth_tsdf_alignment_ray_outputs\set2\ray_refined_tsdf_mesh.ply,169954,.ply,1782700738.0,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
experiments\volumetric_reconstruction\dense_depth_tsdf_alignment_ray_outputs\dense_depth_tsdf_results.json,35054,.json,1782700391.31611,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_alignment_ray_outputs\set1\dense_depth_tsdf_grid.npz,18696,.npz,1782700348.4925277,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_alignment_ray_outputs\set1\dense_depth_tsdf_mesh.ply,205050,.ply,1782700348.521988,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
experiments\volumetric_reconstruction\dense_depth_tsdf_alignment_ray_outputs\set1\ray_refined_tsdf_grid.npz,30180,.npz,1782700348.542582,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_alignment_ray_outputs\set1\ray_refined_tsdf_mesh.ply,119742,.ply,1782700348.559484,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
experiments\volumetric_reconstruction\dense_depth_tsdf_alignment_ray_outputs\set2\dense_depth_tsdf_grid.npz,29760,.npz,1782700379.3169541,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_alignment_ray_outputs\set2\dense_depth_tsdf_mesh.ply,319162,.ply,1782700379.358485,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
experiments\volumetric_reconstruction\dense_depth_tsdf_alignment_ray_outputs\set2\ray_refined_tsdf_grid.npz,43507,.npz,1782700379.3836815,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_alignment_ray_outputs\set2\ray_refined_tsdf_mesh.ply,173698,.ply,1782700379.3998375,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
experiments\volumetric_reconstruction\dense_depth_tsdf_outputs\dense_depth_tsdf_results.json,12067,.json,1782698780.5905101,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_outputs\set1\dense_depth_tsdf_grid.npz,16258,.npz,1782698756.654986,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_outputs\set1\dense_depth_tsdf_mesh.ply,29864,.ply,1782698756.6714492,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
experiments\volumetric_reconstruction\dense_depth_tsdf_outputs\set2\dense_depth_tsdf_grid.npz,10053,.npz,1782698769.0988932,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_outputs\set2\dense_depth_tsdf_mesh.ply,16968,.ply,1782698769.1098826,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
experiments\volumetric_reconstruction\dense_depth_tsdf_outputs_w01\dense_depth_tsdf_results.json,12082,.json,1782698871.054325,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_outputs_w01\set1\dense_depth_tsdf_grid.npz,31608,.npz,1782698847.0300734,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_outputs_w01\set1\dense_depth_tsdf_mesh.ply,351030,.ply,1782698847.0634446,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
experiments\volumetric_reconstruction\dense_depth_tsdf_outputs_w01\set2\dense_depth_tsdf_grid.npz,18649,.npz,1782698859.6817503,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_outputs_w01\set2\dense_depth_tsdf_mesh.ply,195866,.ply,1782698859.7038074,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
experiments\volumetric_reconstruction\dense_depth_tsdf_ray_outputs\dense_depth_tsdf_results.json,14467,.json,1782699604.7988164,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_ray_outputs\set1\dense_depth_tsdf_grid.npz,31608,.npz,1782699566.2807083,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_ray_outputs\set1\dense_depth_tsdf_mesh.ply,351030,.ply,1782699566.320832,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
experiments\volumetric_reconstruction\dense_depth_tsdf_ray_outputs\set1\ray_refined_tsdf_grid.npz,40516,.npz,1782699566.345061,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_ray_outputs\set1\ray_refined_tsdf_mesh.ply,192462,.ply,1782699566.3617108,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
experiments\volumetric_reconstruction\dense_depth_tsdf_ray_outputs\set2\dense_depth_tsdf_grid.npz,18649,.npz,1782699593.5000923,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_ray_outputs\set2\dense_depth_tsdf_mesh.ply,195866,.ply,1782699593.5255592,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
experiments\volumetric_reconstruction\dense_depth_tsdf_ray_outputs\set2\ray_refined_tsdf_grid.npz,31004,.npz,1782699593.542461,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_ray_outputs\set2\ray_refined_tsdf_mesh.ply,88948,.ply,1782699593.5606432,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
experiments\volumetric_reconstruction\dense_depth_tsdf_ray_outputs_w025\dense_depth_tsdf_results.json,14506,.json,1782699686.474458,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_ray_outputs_w025\set1\dense_depth_tsdf_grid.npz,31608,.npz,1782699647.9250858,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_ray_outputs_w025\set1\dense_depth_tsdf_mesh.ply,351030,.ply,1782699647.9573662,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
experiments\volumetric_reconstruction\dense_depth_tsdf_ray_outputs_w025\set1\ray_refined_tsdf_grid.npz,40347,.npz,1782699647.986828,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_ray_outputs_w025\set1\ray_refined_tsdf_mesh.ply,238324,.ply,1782699648.007621,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
experiments\volumetric_reconstruction\dense_depth_tsdf_ray_outputs_w025\set2\dense_depth_tsdf_grid.npz,18649,.npz,1782699675.0475767,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_ray_outputs_w025\set2\dense_depth_tsdf_mesh.ply,195866,.ply,1782699675.07108,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
experiments\volumetric_reconstruction\dense_depth_tsdf_ray_outputs_w025\set2\ray_refined_tsdf_grid.npz,30840,.npz,1782699675.0875316,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
experiments\volumetric_reconstruction\dense_depth_tsdf_ray_outputs_w025\set2\ray_refined_tsdf_mesh.ply,106336,.ply,1782699675.1025257,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
experiments\volumetric_reconstruction\outputs\set1\voxel_solid_surface.ply,265378,.ply,1782695457.231997,False,Artefacto relacionado; utilidad dependiente de pertenencia a la corrida.
experiments\volumetric_reconstruction\outputs\set2\voxel_solid_surface.ply,357334,.ply,1782695459.5052722,False,Artefacto relacionado; utilidad dependiente de pertenencia a la corrida.
experiments\volumetric_reconstruction\outputs\volumetric_voxel_results.json,3055,.json,1782695464.2810016,False,Metadatos/metricas; util para trazabilidad si pertenece a la corrida auditada.
experiments\volumetric_reconstruction\tsdf_outputs\set1\sdf_grid.npz,74375,.npz,1782695876.7233906,False,Artefacto relacionado; utilidad dependiente de pertenencia a la corrida.
experiments\volumetric_reconstruction\tsdf_outputs\set1\sdf_marching_tetrahedra_mesh.ply,741100,.ply,1782695876.7967925,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
experiments\volumetric_reconstruction\tsdf_outputs\set2\sdf_grid.npz,69926,.npz,1782695884.5654454,False,Artefacto relacionado; utilidad dependiente de pertenencia a la corrida.
experiments\volumetric_reconstruction\tsdf_outputs\set2\sdf_marching_tetrahedra_mesh.ply,958364,.ply,1782695884.6504066,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
experiments\volumetric_reconstruction\tsdf_outputs\tsdf_sdf_results.json,4166,.json,1782695895.2875743,False,Metadatos/metricas; util para trazabilidad si pertenece a la corrida auditada.
projects\ForestVol\data\camera_tsdf_outputs\camera_tsdf_results.json,8475,.json,1782697913.0383081,False,Modelo o resultado de camaras; util para cobertura si corresponde a la misma corrida.
projects\ForestVol\data\camera_tsdf_outputs\set1\camera_ray_tsdf_grid.npz,152013,.npz,1782697888.404183,False,Modelo o resultado de camaras; util para cobertura si corresponde a la misma corrida.
projects\ForestVol\data\camera_tsdf_outputs\set1\camera_ray_tsdf_mesh.ply,1333916,.ply,1782697703.159658,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
projects\ForestVol\data\camera_tsdf_outputs\set2\camera_ray_tsdf_grid.npz,71430,.npz,1782697901.7807798,False,Modelo o resultado de camaras; util para cobertura si corresponde a la misma corrida.
projects\ForestVol\data\camera_tsdf_outputs\set2\camera_ray_tsdf_mesh.ply,855752,.ply,1782697901.852388,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
projects\ForestVol\data\camera_tsdf_outputs_r80\camera_tsdf_results.json,10957,.json,1782697813.2210784,False,Modelo o resultado de camaras; util para cobertura si corresponde a la misma corrida.
projects\ForestVol\data\camera_tsdf_outputs_r80\set1\camera_ray_tsdf_grid.npz,192180,.npz,1782697787.0798216,False,Modelo o resultado de camaras; util para cobertura si corresponde a la misma corrida.
projects\ForestVol\data\camera_tsdf_outputs_r80\set1\camera_ray_tsdf_mesh.ply,1474792,.ply,1782697787.213053,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
projects\ForestVol\data\camera_tsdf_outputs_r80\set2\camera_ray_tsdf_grid.npz,99906,.npz,1782697801.8513525,False,Modelo o resultado de camaras; util para cobertura si corresponde a la misma corrida.
projects\ForestVol\data\camera_tsdf_outputs_r80\set2\camera_ray_tsdf_mesh.ply,1021210,.ply,1782697801.9628484,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
projects\ForestVol\data\camera_tsdf_r80_stdout.json,10958,.json,1782697813.2256575,False,Modelo o resultado de camaras; util para cobertura si corresponde a la misma corrida.
projects\ForestVol\data\camera_tsdf_stdout.json,8604,.json,1782697913.0413413,False,Modelo o resultado de camaras; util para cobertura si corresponde a la misma corrida.
projects\ForestVol\data\dense_depth_tsdf_alignment_outputs\dense_depth_tsdf_results.json,33034,.json,1782700618.3567314,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
projects\ForestVol\data\dense_depth_tsdf_alignment_outputs\set1\dense_depth_tsdf_grid.npz,18735,.npz,1782700592.2766192,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
projects\ForestVol\data\dense_depth_tsdf_alignment_outputs\set1\dense_depth_tsdf_mesh.ply,198974,.ply,1782700592.3088672,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
projects\ForestVol\data\dense_depth_tsdf_alignment_outputs\set2\dense_depth_tsdf_grid.npz,29747,.npz,1782700606.5691102,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
projects\ForestVol\data\dense_depth_tsdf_alignment_outputs\set2\dense_depth_tsdf_mesh.ply,320642,.ply,1782700606.6006093,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
projects\ForestVol\data\dense_depth_tsdf_alignment_ray_outputs\dense_depth_tsdf_results.json,35055,.json,1782700750.512882,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
projects\ForestVol\data\dense_depth_tsdf_alignment_ray_outputs\set1\dense_depth_tsdf_grid.npz,18735,.npz,1782700707.8314939,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
projects\ForestVol\data\dense_depth_tsdf_alignment_ray_outputs\set1\dense_depth_tsdf_mesh.ply,198974,.ply,1782700707.85468,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
projects\ForestVol\data\dense_depth_tsdf_alignment_ray_outputs\set1\ray_refined_tsdf_grid.npz,30169,.npz,1782700707.8763988,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
projects\ForestVol\data\dense_depth_tsdf_alignment_ray_outputs\set1\ray_refined_tsdf_mesh.ply,119298,.ply,1782700707.8878014,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
projects\ForestVol\data\dense_depth_tsdf_alignment_ray_outputs\set2\dense_depth_tsdf_grid.npz,29747,.npz,1782700738.206835,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
projects\ForestVol\data\dense_depth_tsdf_alignment_ray_outputs\set2\dense_depth_tsdf_mesh.ply,320642,.ply,1782700738.2449076,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
projects\ForestVol\data\dense_depth_tsdf_alignment_ray_outputs\set2\ray_refined_tsdf_grid.npz,43476,.npz,1782700738.261968,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
projects\ForestVol\data\dense_depth_tsdf_alignment_ray_outputs\set2\ray_refined_tsdf_mesh.ply,169954,.ply,1782700738.2909472,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
projects\ForestVol\data\dense_depth_tsdf_alignment_ray_stdout.json,35056,.json,1782700750.5178537,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
projects\ForestVol\data\dense_depth_tsdf_alignment_stdout.json,33035,.json,1782700618.3633676,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
projects\ForestVol\data\dense_depth_tsdf_outputs\dense_depth_tsdf_results.json,12067,.json,1782698780.5905101,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
projects\ForestVol\data\dense_depth_tsdf_outputs\set1\dense_depth_tsdf_grid.npz,16258,.npz,1782698756.654986,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
projects\ForestVol\data\dense_depth_tsdf_outputs\set1\dense_depth_tsdf_mesh.ply,29864,.ply,1782698756.6714492,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
projects\ForestVol\data\dense_depth_tsdf_outputs\set2\dense_depth_tsdf_grid.npz,10053,.npz,1782698769.0988932,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
projects\ForestVol\data\dense_depth_tsdf_outputs\set2\dense_depth_tsdf_mesh.ply,16968,.ply,1782698769.1098826,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
projects\ForestVol\data\dense_depth_tsdf_outputs_w01\dense_depth_tsdf_results.json,12082,.json,1782698871.054325,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
projects\ForestVol\data\dense_depth_tsdf_outputs_w01\set1\dense_depth_tsdf_grid.npz,31608,.npz,1782698847.0300734,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
projects\ForestVol\data\dense_depth_tsdf_outputs_w01\set1\dense_depth_tsdf_mesh.ply,351030,.ply,1782698847.0634446,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
projects\ForestVol\data\dense_depth_tsdf_outputs_w01\set2\dense_depth_tsdf_grid.npz,18649,.npz,1782698859.6817503,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
projects\ForestVol\data\dense_depth_tsdf_outputs_w01\set2\dense_depth_tsdf_mesh.ply,195866,.ply,1782698859.7038074,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
projects\ForestVol\data\dense_depth_tsdf_ray_outputs\dense_depth_tsdf_results.json,14467,.json,1782699604.7988164,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
projects\ForestVol\data\dense_depth_tsdf_ray_outputs\set1\dense_depth_tsdf_grid.npz,31608,.npz,1782699566.2807083,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
projects\ForestVol\data\dense_depth_tsdf_ray_outputs\set1\dense_depth_tsdf_mesh.ply,351030,.ply,1782699566.320832,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
projects\ForestVol\data\dense_depth_tsdf_ray_outputs\set1\ray_refined_tsdf_grid.npz,40516,.npz,1782699566.345061,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
projects\ForestVol\data\dense_depth_tsdf_ray_outputs\set1\ray_refined_tsdf_mesh.ply,192462,.ply,1782699566.3617108,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
projects\ForestVol\data\dense_depth_tsdf_ray_outputs\set2\dense_depth_tsdf_grid.npz,18649,.npz,1782699593.5000923,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
projects\ForestVol\data\dense_depth_tsdf_ray_outputs\set2\dense_depth_tsdf_mesh.ply,195866,.ply,1782699593.5255592,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
projects\ForestVol\data\dense_depth_tsdf_ray_outputs\set2\ray_refined_tsdf_grid.npz,31004,.npz,1782699593.542461,False,Artefacto de profundidad/TSDF; util para contrastar densificacion o MVS.
projects\ForestVol\data\dense_depth_tsdf_ray_outputs\set2\ray_refined_tsdf_mesh.ply,88948,.ply,1782699593.5606432,False,Malla/superficie; util para distinguir nube densa vs reconstruccion de superficie.
